path,etag,lastmodified,Allow
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/media/GET_NOT_ALLOWED,2021-10-26 22:52:36.53503622:52:36502b6b97-3681-11ec-bca6-d1ee2f8a7ddc,2021-10-26 22:52:36.53503622:52:36,"PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/media/doDelete1.html,2021-10-26 22:53:41.50407422:53:4176e4e551-3681-11ec-bca6-d1ee2f8a7ddc,2021-10-26 22:53:41.50407422:53:41,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/media/doDelete2.html,2021-10-26 22:54:14.06752922:54:148a4db63b-3681-11ec-bca6-d1ee2f8a7ddc,2021-10-26 22:54:14.06752922:54:14,"GET ,PUT"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/media/DoDelete_text.txt,2021-10-26 22:55:05.01464222:55:05a8ab9f03-3681-11ec-bca6-d1ee2f8a7ddc,2021-10-26 22:55:05.01464222:55:05,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/media/doDelete.html,2021-10-26 22:55:30.08674222:55:30b79d442b-3681-11ec-bca6-d1ee2f8a7ddc,2021-10-26 22:55:30.08674222:55:30,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/resources/ce34e904-3681-11ec-bca6-d1ee2f8a7ddc/,2021-10-26 22:56:07.99035322:56:07ce34e905-3681-11ec-bca6-d1ee2f8a7ddc,2021-10-26 22:56:07.99035322:56:07,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/resources/eb6c8d74-3681-11ec-bca6-d1ee2f8a7ddc/,2021-10-26 22:56:57.00900422:56:57eb6c8d75-3681-11ec-bca6-d1ee2f8a7ddc,2021-10-26 22:56:57.00900422:56:57,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/resources/1c7c387e-3682-11ec-bca6-d1ee2f8a7ddc/,2021-10-26 22:58:19.32002822:58:191c7c387f-3682-11ec-bca6-d1ee2f8a7ddc,2021-10-26 22:58:19.32002822:58:19,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/resources/4d33c1f8-3682-11ec-bca6-d1ee2f8a7ddc/,2021-10-26 22:59:41.05333222:59:414d33c1f9-3682-11ec-bca6-d1ee2f8a7ddc,2021-10-26 22:59:41.05333222:59:41,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/resources/6b676b2a-3682-11ec-bca6-d1ee2f8a7ddc/,2021-10-26 23:00:31.72349623:00:316b676b2b-3682-11ec-bca6-d1ee2f8a7ddc,2021-10-26 23:00:31.72349623:00:31,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/61b541b8-367a-11ec-82cd-77787e8aa375/,2021-10-26 22:02:59.52429222:02:5961b541b9-367a-11ec-82cd-77787e8aa375,2021-10-26 22:02:59.52429222:02:59,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/8d6014b4-367a-11ec-82cd-77787e8aa375/,2021-10-26 22:04:12.74429322:04:128d6014b5-367a-11ec-82cd-77787e8aa375,2021-10-26 22:04:12.74429322:04:12,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/99cf930a-367a-11ec-82cd-77787e8aa375/,2021-10-26 22:04:33.62720522:04:3399cf930b-367a-11ec-82cd-77787e8aa375,2021-10-26 22:04:33.62720522:04:33,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/a2d3e118-367a-11ec-82cd-77787e8aa375/,2021-10-26 22:04:48.73579722:04:48a2d3e119-367a-11ec-82cd-77787e8aa375,2021-10-26 22:04:48.73579722:04:48,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/c4720f3e-367a-11ec-82cd-77787e8aa375/,2021-10-26 22:05:45.13668422:05:45c4720f3f-367a-11ec-82cd-77787e8aa375,2021-10-26 22:05:45.13668422:05:45,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/cb0c4bca-367a-11ec-82cd-77787e8aa375/,2021-10-26 22:05:56.21401822:05:56cb0c4bcb-367a-11ec-82cd-77787e8aa375,2021-10-26 22:05:56.21401822:05:56,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/fd13a212-367a-11ec-82cd-77787e8aa375/,2021-10-26 22:07:20.14792622:07:20fd13a213-367a-11ec-82cd-77787e8aa375,2021-10-26 22:07:20.14792622:07:20,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/09f892da-367b-11ec-82cd-77787e8aa375/,2021-10-26 22:07:41.78087822:07:4109f892db-367b-11ec-82cd-77787e8aa375,2021-10-26 22:07:41.78087822:07:41,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/14276308-367b-11ec-82cd-77787e8aa375/,2021-10-26 22:07:58.86505522:07:5814276309-367b-11ec-82cd-77787e8aa375,2021-10-26 22:07:58.86505522:07:58,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/247d77a6-367b-11ec-82cd-77787e8aa375/,2021-10-26 22:08:26.27273122:08:26247d77a7-367b-11ec-82cd-77787e8aa375,2021-10-26 22:08:26.27273122:08:26,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/425c55a8-367b-11ec-82cd-77787e8aa375/,2021-10-26 22:09:16.38717922:09:16425c55a9-367b-11ec-82cd-77787e8aa375,2021-10-26 22:09:16.38717922:09:16,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/61332d58-367b-11ec-82cd-77787e8aa375/,2021-10-26 22:10:08.12684522:10:0861332d59-367b-11ec-82cd-77787e8aa375,2021-10-26 22:10:08.12684522:10:08,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/9ab778c2-367b-11ec-82cd-77787e8aa375/,2021-10-26 22:11:44.62381922:11:449ab778c3-367b-11ec-82cd-77787e8aa375,2021-10-26 22:11:44.62381922:11:44,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/a408d02e-367b-11ec-82cd-77787e8aa375/,2021-10-26 22:12:00.25679622:12:00a408d02f-367b-11ec-82cd-77787e8aa375,2021-10-26 22:12:00.25679622:12:00,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/d85b050e-367b-11ec-82cd-77787e8aa375/,2021-10-26 22:13:28.03661522:13:28d85b050f-367b-11ec-82cd-77787e8aa375,2021-10-26 22:13:28.03661522:13:28,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/c7cf2854-367c-11ec-82cd-77787e8aa375/,2021-10-26 22:20:09.77352622:20:09c7cf2855-367c-11ec-82cd-77787e8aa375,2021-10-26 22:20:09.77352622:20:09,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/0675c216-367d-11ec-82cd-77787e8aa375/,2021-10-26 22:21:54.88429522:21:540675c217-367d-11ec-82cd-77787e8aa375,2021-10-26 22:21:54.88429522:21:54,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/0caecc0e-367d-11ec-82cd-77787e8aa375/,2021-10-26 22:22:05.32403422:22:050caecc0f-367d-11ec-82cd-77787e8aa375,2021-10-26 22:22:05.32403422:22:05,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/142adb9e-367d-11ec-82cd-77787e8aa375/,2021-10-26 22:22:17.88193322:22:17142adb9f-367d-11ec-82cd-77787e8aa375,2021-10-26 22:22:17.88193322:22:17,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/363ed41a-367d-11ec-82cd-77787e8aa375/,2021-10-26 22:23:15.05542122:23:15363ed41b-367d-11ec-82cd-77787e8aa375,2021-10-26 22:23:15.05542122:23:15,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/9478cbb2-367d-11ec-82cd-77787e8aa375/,2021-10-26 22:25:53.14053122:25:539478cbb3-367d-11ec-82cd-77787e8aa375,2021-10-26 22:25:53.14053122:25:53,"GET ,PUT , DELETE"
/home/darshan/Downloads/CN_PROJECT_1/CN_PROJECT/resources/62d36814-367e-11ec-82cd-77787e8aa375/,2021-10-26 22:31:39.34462022:31:3962d36815-367e-11ec-82cd-77787e8aa375,2021-10-26 22:31:39.34462022:31:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/media/index.html,2021-10-26 22:34:39.24989522:34:39ce0eaaa9-367e-11ec-82cd-77787e8aa375,2021-10-26 22:34:39.24989522:34:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/3b5e5d5e-4595-11ec-94ff-5fb05b379f3d.json,2021-11-15 03:22:59.01299003:22:593b5e5d5f-4595-11ec-94ff-5fb05b379f3d,2021-11-15 03:22:59.01299003:22:59,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/223b2d78-4597-11ec-94ff-5fb05b379f3d/,2021-11-15 03:36:35.83307403:36:35223b2d79-4597-11ec-94ff-5fb05b379f3d,2021-11-15 03:36:35.83307403:36:35,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/9f439918-4597-11ec-94ff-5fb05b379f3d/,2021-11-15 03:40:05.70452303:40:059f439919-4597-11ec-94ff-5fb05b379f3d,2021-11-15 03:40:05.70452303:40:05,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/6076fc14-4599-11ec-94ff-5fb05b379f3d/,2021-11-15 03:52:39.33656603:52:396076fc15-4599-11ec-94ff-5fb05b379f3d,2021-11-15 03:52:39.33656603:52:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/2ced9db6-459a-11ec-94ff-5fb05b379f3d/,2021-11-15 03:58:22.40473703:58:222ced9db7-459a-11ec-94ff-5fb05b379f3d,2021-11-15 03:58:22.40473703:58:22,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/89d2c32a-459b-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:08:07.61846004:08:0789d2c32b-459b-11ec-94ff-5fb05b379f3d,2021-11-15 04:08:07.61846004:08:07,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/89d3787e-459b-11ec-94ff-5fb05b379f3d/,2021-11-15 04:08:07.67499504:08:0789d3787f-459b-11ec-94ff-5fb05b379f3d,2021-11-15 04:08:07.67499504:08:07,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/89dc36b2-459b-11ec-94ff-5fb05b379f3d/,2021-11-15 04:08:07.72391604:08:0789dc36b3-459b-11ec-94ff-5fb05b379f3d,2021-11-15 04:08:07.72391604:08:07,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/bea62a10-459b-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:09:36.24550104:09:36bea62a11-459b-11ec-94ff-5fb05b379f3d,2021-11-15 04:09:36.24550104:09:36,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/bea70b88-459b-11ec-94ff-5fb05b379f3d/,2021-11-15 04:09:36.31148204:09:36bea70b89-459b-11ec-94ff-5fb05b379f3d,2021-11-15 04:09:36.31148204:09:36,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/beb14468-459b-11ec-94ff-5fb05b379f3d/,2021-11-15 04:09:36.37195904:09:36beb14469-459b-11ec-94ff-5fb05b379f3d,2021-11-15 04:09:36.37195904:09:36,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/83f82728-459c-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:15:07.29393004:15:0783f82729-459c-11ec-94ff-5fb05b379f3d,2021-11-15 04:15:07.29393004:15:07,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/83f90df0-459c-11ec-94ff-5fb05b379f3d/,2021-11-15 04:15:07.36614004:15:0783f90df1-459c-11ec-94ff-5fb05b379f3d,2021-11-15 04:15:07.36614004:15:07,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/840455ca-459c-11ec-94ff-5fb05b379f3d/,2021-11-15 04:15:07.45010804:15:07840455cb-459c-11ec-94ff-5fb05b379f3d,2021-11-15 04:15:07.45010804:15:07,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/bd5e6b62-459c-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:16:43.59425604:16:43bd5e6b63-459c-11ec-94ff-5fb05b379f3d,2021-11-15 04:16:43.59425604:16:43,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/bd5f372c-459c-11ec-94ff-5fb05b379f3d/,2021-11-15 04:16:43.65473104:16:43bd5f372d-459c-11ec-94ff-5fb05b379f3d,2021-11-15 04:16:43.65473104:16:43,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/bd68514a-459c-11ec-94ff-5fb05b379f3d/,2021-11-15 04:16:43.73187704:16:43bd68514b-459c-11ec-94ff-5fb05b379f3d,2021-11-15 04:16:43.73187704:16:43,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/028b58b2-459d-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:18:39.65142904:18:39028b58b3-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:18:39.65142904:18:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/028c2de6-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:18:39.71665304:18:39028c2de7-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:18:39.71665304:18:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/02964ce0-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:18:39.80304204:18:3902964ce1-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:18:39.80304204:18:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/30b00c9c-459d-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:19:57.06733804:19:5730b00c9d-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:19:57.06733804:19:57,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/30b0dc94-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:19:57.13910704:19:5730b0dc95-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:19:57.13910704:19:57,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/30bc4ade-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:19:57.18258404:19:5730bc4adf-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:19:57.18258404:19:57,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/5f729fd6-459d-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:21:15.51769004:21:155f729fd7-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:21:15.51769004:21:15,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/5f738662-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:21:15.52355404:21:155f738663-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:21:15.52355404:21:15,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/5f743882-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:21:15.52814204:21:155f743883-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:21:15.52814204:21:15,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/91798f4e-459d-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:22:39.44930804:22:3991798f4f-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:22:39.44930804:22:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/917a9cc2-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:22:39.45612904:22:39917a9cc3-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:22:39.45612904:22:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/917b72f0-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:22:39.46166904:22:39917b72f1-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:22:39.46166904:22:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/ce5166bc-459d-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:24:21.52711204:24:21ce5166bd-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:24:21.52711204:24:21,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/ce526bf2-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:24:21.53403204:24:21ce526bf3-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:24:21.53403204:24:21,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/ce536bba-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:24:21.54074804:24:21ce536bbb-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:24:21.54074804:24:21,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/8065d09e-459f-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:36:29.79237904:36:298065d09f-459f-11ec-94ff-5fb05b379f3d,2021-11-15 04:36:29.79237904:36:29,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/8066f53c-459f-11ec-94ff-5fb05b379f3d/,2021-11-15 04:36:29.79959504:36:298066f53d-459f-11ec-94ff-5fb05b379f3d,2021-11-15 04:36:29.79959504:36:29,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/80682380-459f-11ec-94ff-5fb05b379f3d/,2021-11-15 04:36:29.80744304:36:2980682381-459f-11ec-94ff-5fb05b379f3d,2021-11-15 04:36:29.80744304:36:29,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/5bfb053c-45a2-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:56:57.18422904:56:575bfb053d-45a2-11ec-94ff-5fb05b379f3d,2021-11-15 04:56:57.18422904:56:57,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/5bfbf5f0-45a2-11ec-94ff-5fb05b379f3d/,2021-11-15 04:56:57.19051104:56:575bfbf5f1-45a2-11ec-94ff-5fb05b379f3d,2021-11-15 04:56:57.19051104:56:57,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/5bfcc76e-45a2-11ec-94ff-5fb05b379f3d/,2021-11-15 04:56:57.19615004:56:575bfcc76f-45a2-11ec-94ff-5fb05b379f3d,2021-11-15 04:56:57.19615004:56:57,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/fad080bc-471c-11ec-8278-8bb1c45803ee.json,2021-11-17 02:07:13.43510802:07:13fad080bd-471c-11ec-8278-8bb1c45803ee,2021-11-17 02:07:13.43510802:07:13,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/fad5f8bc-471c-11ec-8278-8bb1c45803ee/,2021-11-17 02:07:13.46316402:07:13fad5f8bd-471c-11ec-8278-8bb1c45803ee,2021-11-17 02:07:13.46316402:07:13,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/fad6f62c-471c-11ec-8278-8bb1c45803ee/,2021-11-17 02:07:13.46990202:07:13fad6f62d-471c-11ec-8278-8bb1c45803ee,2021-11-17 02:07:13.46990202:07:13,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/322d8cd0-471d-11ec-8278-8bb1c45803ee.json,2021-11-17 02:08:46.31231802:08:46322d8cd1-471d-11ec-8278-8bb1c45803ee,2021-11-17 02:08:46.31231802:08:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/322f3742-471d-11ec-8278-8bb1c45803ee/,2021-11-17 02:08:46.32344402:08:46322f3743-471d-11ec-8278-8bb1c45803ee,2021-11-17 02:08:46.32344402:08:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/3230bcca-471d-11ec-8278-8bb1c45803ee/,2021-11-17 02:08:46.33260202:08:463230bccb-471d-11ec-8278-8bb1c45803ee,2021-11-17 02:08:46.33260202:08:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/323d04bc-471d-11ec-8278-8bb1c45803ee.json,2021-11-17 02:08:46.41302202:08:46323d04bd-471d-11ec-8278-8bb1c45803ee,2021-11-17 02:08:46.41302202:08:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/323ead58-471d-11ec-8278-8bb1c45803ee/,2021-11-17 02:08:46.42416502:08:46323ead59-471d-11ec-8278-8bb1c45803ee,2021-11-17 02:08:46.42416502:08:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/46745084-584d-11ec-bcab-4db68aff608e.json,2021-12-08 23:05:45.94020523:05:4546745085-584d-11ec-bcab-4db68aff608e,2021-12-08 23:05:45.94020523:05:45,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/4678950e-584d-11ec-bcab-4db68aff608e/,2021-12-08 23:05:45.96846523:05:454678950f-584d-11ec-bcab-4db68aff608e,2021-12-08 23:05:45.96846523:05:45,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/4679eecc-584d-11ec-bcab-4db68aff608e/,2021-12-08 23:05:45.97718723:05:454679eecd-584d-11ec-bcab-4db68aff608e,2021-12-08 23:05:45.97718723:05:45,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/4685c698-584d-11ec-bcab-4db68aff608e.json,2021-12-08 23:05:46.05470623:05:464685c699-584d-11ec-bcab-4db68aff608e,2021-12-08 23:05:46.05470623:05:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/468731ea-584d-11ec-bcab-4db68aff608e/,2021-12-08 23:05:46.06479023:05:46468731eb-584d-11ec-bcab-4db68aff608e,2021-12-08 23:05:46.06479023:05:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/46889b5c-584d-11ec-bcab-4db68aff608e/,2021-12-08 23:05:46.07358623:05:4646889b5d-584d-11ec-bcab-4db68aff608e,2021-12-08 23:05:46.07358623:05:46,"GET ,PUT , DELETE"
